No., BCV ,Position,Player,Team, Price , Weighted minutes , Weighted UPPM , PPG - longer term ,Fixture ratio,1,2,3,4,5,6,7,8,Sum
69, 0.15 ,D,O'Nien,SUN, 4.0 ,,,,, -   , -   , 0.30 , 1.15 , 1.87 , 2.07 , 1.74 , 2.52 , 9.65 
70, 0.29 ,D,Hartman,BUR, 4.0 ,,,,, 1.97 , 3.41 , 1.86 , 1.63 , 2.60 , 1.21 , 1.69 , 2.58 , 16.94 
71, 0.23 ,D,Hoever,WOL, 4.0 ,,,,, 1.76 , 1.84 , 2.29 , 1.53 , 2.37 , 1.63 , 2.04 , 2.24 , 15.68 
72, 0.28 ,D,Chalobah,CHE, 5.0 ,,,,, 3.41 , 2.76 , 2.82 , 2.16 , 1.94 , 2.26 , 1.80 , 2.14 , 19.30 
73, 0.23 ,D,Henry,BRE, 4.5 ,,,,, 2.35 , 2.25 , 2.61 , 1.93 , 2.02 , 2.09 , 1.52 , 1.99 , 16.78 
74, 0.25 ,D,Dunk,BRI, 4.5 ,,,,, 2.93 , 2.50 , 1.76 , 2.08 , 2.25 , 1.59 , 2.32 , 2.06 , 17.49 
75, 0.34 ,D,Hume,SUN, 4.5 ,,,,, 3.21 , 3.26 , 2.94 , 2.31 , 2.42 , 2.42 , 1.94 , 3.02 , 21.53 
76, 0.32 ,D,Reinildo,SUN, 4.0 ,,,,, 2.87 , 2.82 , 2.60 , 2.08 , 2.15 , 2.16 , 1.72 , 2.70 , 19.09 
77, 0.20 ,D,Smith,BOU, 4.5 ,,,,, 1.14 , 2.56 , 1.59 , 1.98 , 1.86 , 1.92 , 2.16 , 1.71 , 14.91 
78, 0.26 ,D,Doherty,WOL, 4.5 ,,,,, 2.06 , 2.36 , 3.02 , 1.94 , 2.82 , 1.98 , 2.38 , 2.71 , 19.29 
79, 0.28 ,D,Spence,TOT, 4.5 ,,,,, 3.67 , 1.40 , 2.26 , 1.99 , 1.78 , 2.56 , 2.03 , 1.92 , 17.61 
80, 0.30 ,D,Tosin,CHE, 4.5 ,,,,, 3.28 , 2.79 , 2.69 , 2.04 , 1.78 , 2.03 , 1.58 , 1.91 , 18.09 
81, 0.10 ,D,Martinez,MUN, 5.0 ,,,,, -   , -   , -   , 0.05 , 0.66 , 1.33 , 2.19 , 1.15 , 5.38 
82, 0.18 ,D,J.Timber,ARS, 5.5 ,,,,, 1.66 , 2.49 , 1.40 , 2.61 , 1.86 , 1.93 , 2.54 , 2.15 , 16.63 
83, 0.14 ,D,H.Bueno,WOL, 4.5 ,,,,, 0.67 , 0.74 , 0.95 , 0.62 , 0.97 , 0.77 , 1.00 , 1.06 , 6.78 
84, 0.23 ,D,Dalot,MUN, 4.5 ,,,,, 1.98 , 2.01 , 3.02 , 1.29 , 1.88 , 1.93 , 2.72 , 1.21 , 16.05 
85, 0.17 ,D,Udogie,TOT, 4.5 ,,,,, 0.80 , 0.91 , 2.03 , 1.83 , 1.58 , 2.26 , 1.86 , 1.78 , 13.05 
86, 0.19 ,D,Hill,BOU, 4.0 ,,,,, 1.53 , 1.66 , 1.06 , 1.17 , 1.19 , 1.32 , 1.51 , 1.19 , 10.63 
87, 0.15 ,D,Akanji,MCI, 5.5 ,,,,, 1.87 , 1.64 , 1.25 , 1.43 , 1.08 , 1.88 , 1.40 , 1.71 , 12.25 
88, 0.20 ,D,Digne,AVL, 4.5 ,,,,, 1.78 , 1.72 , 1.94 , 1.86 , 1.99 , 1.95 , 2.23 , 1.46 , 14.93 
89, 0.13 ,D,Calafiori,ARS, 5.5 ,,,,, 0.97 , 1.55 , 0.89 , 1.44 , 1.14 , 1.14 , 1.60 , 1.36 , 10.09 
90, 0.15 ,D,Coppola,BRI, 4.5 ,,,,, 1.10 , 1.02 , 0.83 , 1.07 , 1.15 , 0.91 , 1.24 , 1.18 , 8.50 
91, 0.15 ,D,Mosquera,WOL, 4.5 ,,,,, 0.41 , 1.01 , 1.37 , 1.06 , 1.57 , 1.22 , 1.46 , 1.64 , 9.73 
92, 0.13 ,D,Bradley,LIV, 5.0 ,,,,, 0.31 , 0.91 , 1.10 , 1.44 , 1.52 , 1.22 , 1.02 , 1.41 , 8.93 
93, 0.15 ,D,Gusto,CHE, 5.0 ,,,,, 1.23 , 1.23 , 1.40 , 1.27 , 1.15 , 1.43 , 1.03 , 1.33 , 10.07 
94, 0.11 ,D,B.Badiashile,CHE, 4.5 ,,,,, -   , -   , 0.16 , 0.40 , 0.55 , 0.79 , 0.67 , 0.79 , 3.36 
95, 0.12 ,D,Botman,NEW, 5.0 ,,,,, 0.78 , 0.60 , 0.65 , 0.98 , 0.85 , 0.92 , 1.16 , 1.05 , 7.00 
96, 0.13 ,D,Ake,MCI, 5.5 ,,,,, 1.20 , 1.04 , 0.98 , 1.08 , 0.85 , 1.40 , 1.16 , 1.33 , 9.03 
97, 0.18 ,D,Lewis-Potter,BRE, 5.0 ,,,,, 2.38 , 1.81 , 2.11 , 1.51 , 1.46 , 1.53 , 1.18 , 1.48 , 13.45 
98, 0.16 ,D,Aznou,EVE, 4.5 ,,,,, 1.88 , 1.04 , 1.00 , 0.86 , 0.65 , 1.15 , 1.12 , 0.73 , 8.43 
99, 0.12 ,D,Robertson,LIV, 6.0 ,,,,, 1.10 , 0.83 , 0.96 , 1.30 , 1.32 , 1.11 , 0.91 , 1.29 , 8.81 
100, 0.19 ,D,Shaw,MUN, 4.5 ,,,,, 1.73 , 1.83 , 2.35 , 1.12 , 1.50 , 1.40 , 1.84 , 0.89 , 12.68 
101, 0.17 ,D,Maguire,MUN, 4.5 ,,,,, 1.41 , 1.39 , 1.91 , 1.06 , 1.23 , 1.13 , 1.38 , 0.76 , 10.26 
102, 0.12 ,D,Roberts,BUR, 4.5 ,,,,, 0.13 , 0.75 , 0.39 , 0.36 , 0.64 , 0.28 , 0.47 , 0.77 , 3.78 
103, 0.21 ,D,Seelt,SUN, 4.0 ,,,,, 2.64 , 1.45 , 1.19 , 0.69 , 0.64 , 0.65 , 0.60 , 0.76 , 8.61 
104, 0.17 ,D,Sonne,BUR, 4.0 ,,,,, 1.02 , 1.54 , 0.93 , 0.80 , 1.13 , 0.60 , 0.81 , 1.09 , 7.92 
105, 0.14 ,D,R.Gomes,WOL, 4.5 ,,,,, 0.72 , 0.67 , 0.92 , 0.69 , 1.04 , 0.77 , 0.89 , 1.04 , 6.73 
106, 0.16 ,D,Trippier,NEW, 5.0 ,,,,, 1.74 , 1.35 , 1.62 , 1.78 , 1.32 , 1.21 , 1.58 , 1.23 , 11.83 
107, 0.13 ,D,Mepham,BOU, 4.0 ,,,,, 0.36 , 0.45 , 0.27 , 0.36 , 0.38 , 0.43 , 0.51 , 0.48 , 3.25 
108, 0.14 ,D,Boscagli,BRI, 4.5 ,,,,, 0.93 , 0.91 , 0.74 , 0.91 , 1.04 , 0.79 , 1.06 , 0.98 , 7.34 
109, 0.16 ,D,Mings,AVL, 4.5 ,,,,, 0.94 , 0.96 , 1.24 , 1.30 , 1.40 , 1.31 , 1.50 , 1.08 , 9.73 
110, 0.14 ,D,Heaven,MUN, 4.0 ,,,,, 0.50 , 0.53 , 0.68 , 0.33 , 0.47 , 0.49 , 0.68 , 0.35 , 4.03 
111, 0.13 ,D,Mazraoui,MUN, 5.0 ,,,,, 0.38 , 0.75 , 1.43 , 0.89 , 1.06 , 1.03 , 1.27 , 0.73 , 7.54 
112, 0.11 ,D,Kiwior,ARS, 5.5 ,,,,, 0.38 , 1.34 , 0.42 , 0.65 , 0.55 , 0.59 , 0.76 , 0.68 , 5.37 
113, 0.15 ,D,Veltman,BRI, 4.5 ,,,,, 1.15 , 1.03 , 0.87 , 0.96 , 1.05 , 0.73 , 1.10 , 0.97 , 7.86 
114, 0.17 ,D,J.Araujo,BOU, 4.0 ,,,,, 0.63 , 1.26 , 0.90 , 1.08 , 1.02 , 1.03 , 1.10 , 0.98 , 8.02 
115, 0.14 ,D,J.Cuenca,FUL, 4.5 ,,,,, 1.34 , 1.02 , 0.74 , 0.62 , 0.65 , 0.52 , 0.57 , 0.53 , 5.98 
116, 0.11 ,D,Stones,MCI, 5.5 ,,,,, 0.88 , 0.66 , 0.65 , 0.85 , 0.57 , 0.99 , 0.81 , 0.93 , 6.34 
117, 0.12 ,D,Jair Cunha,NOT, 4.5 ,,,,, 0.31 , 0.38 , 0.47 , 0.32 , 0.58 , 0.63 , 0.44 , 0.46 , 3.59 
118, 0.16 ,D,Keane,EVE, 4.5 ,,,,, 2.20 , 1.38 , 0.99 , 0.59 , 0.38 , 0.70 , 0.67 , 0.48 , 7.39 
119, 0.11 ,D,Bevan,BOU, 4.0 ,,,,, -   , 0.04 , 0.03 , 0.06 , 0.09 , 0.12 , 0.19 , 0.18 , 0.72 
120, 0.16 ,D,Bornauw,LEE, 4.0 ,,,,, 1.18 , 0.48 , 0.67 , 0.67 , 0.83 , 0.88 , 0.82 , 1.03 , 6.56 
121, 0.19 ,D,Bijol,LEE, 4.0 ,,,,, -   , 1.42 , 1.88 , 2.03 , 2.06 , 1.96 , 1.71 , 2.20 , 13.27 
122, 0.14 ,D,Danso,TOT, 4.5 ,,,,, 1.00 , 0.53 , 0.86 , 0.88 , 0.84 , 1.02 , 0.82 , 0.65 , 6.59 
123, 0.10 ,D,Tsimikas,LIV, 5.0 ,,,,, 0.41 , 0.24 , 0.31 , 0.41 , 0.42 , 0.40 , 0.37 , 0.48 , 3.04 
124, 0.14 ,D,Lewis,MCI, 5.0 ,,,,, 1.40 , 1.17 , 0.99 , 1.21 , 0.83 , 1.35 , 1.00 , 1.15 , 9.09 
125, 0.15 ,D,Castagne,FUL, 4.5 ,,,,, 1.07 , 1.08 , 0.85 , 1.36 , 1.25 , 0.93 , 0.96 , 0.96 , 8.45 
126, 0.17 ,D,Hickey,BRE, 4.0 ,,,,, 0.70 , 0.77 , 1.09 , 1.09 , 1.15 , 1.21 , 0.90 , 1.19 , 8.11 
127, 0.14 ,D,Patterson,EVE, 4.5 ,,,,, 0.77 , 0.87 , 0.97 , 0.88 , 0.61 , 1.02 , 0.95 , 0.69 , 6.76 
128, 0.12 ,D,Davies,TOT, 4.5 ,,,,, 0.50 , 0.22 , 0.33 , 0.37 , 0.34 , 0.51 , 0.40 , 0.39 , 3.05 
129, 0.14 ,D,Bogarde,AVL, 4.0 ,,,,, 0.40 , 0.42 , 0.54 , 0.52 , 0.64 , 0.66 , 0.78 , 0.55 , 4.50 
130, 0.13 ,D,Hato,CHE, 5.0 ,,,,, 0.65 , 0.71 , 0.96 , 0.98 , 0.77 , 0.85 , 0.67 , 0.92 , 6.51 
131, 0.13 ,D,Acheampong,CHE, 4.0 ,,,,, 0.40 , 0.33 , 0.32 , 0.22 , 0.22 , 0.28 , 0.25 , 0.27 , 2.30 
132, 0.15 ,D,Masuaku,SUN, 4.0 ,,,,, 0.70 , 0.65 , 0.74 , 0.57 , 0.54 , 0.53 , 0.47 , 0.71 , 4.91 
133, 0.10 ,D,Dragusin,TOT, 4.5 ,,,,, -   , 0.01 , 0.03 , 0.05 , 0.06 , 0.19 , 0.30 , 0.54 , 1.18 
134, 0.14 ,D,S.Bueno,WOL, 4.5 ,,,,, 0.71 , 0.76 , 1.07 , 0.80 , 1.11 , 0.73 , 0.84 , 1.07 , 7.10 
135, 0.15 ,D,Walker-Peters,WHM, 4.5 ,,,,, 1.04 , 0.85 , 1.04 , 1.10 , 1.10 , 0.96 , 0.63 , 1.13 , 7.84 
136, 0.13 ,D,A.Garcia,AVL, 4.0 ,,,,, 0.22 , 0.26 , 0.31 , 0.32 , 0.38 , 0.40 , 0.44 , 0.34 , 2.66 
137, 0.12 ,D,Pinnock,BRE, 4.5 ,,,,, 0.27 , 0.31 , 0.49 , 0.47 , 0.53 , 0.57 , 0.45 , 0.59 , 3.69 
138, 0.12 ,D,Diop,FUL, 4.5 ,,,,, 0.55 , 0.47 , 0.39 , 0.54 , 0.57 , 0.47 , 0.51 , 0.50 , 3.99 
139, 0.10 ,D,Zinchenko,ARS, 5.0 ,,,,, 0.15 , 0.26 , 0.19 , 0.29 , 0.25 , 0.25 , 0.37 , 0.33 , 2.07 
140, 0.13 ,D,Huggins,SUN, 4.0 ,,,,, 0.47 , 0.39 , 0.30 , 0.15 , 0.18 , 0.20 , 0.18 , 0.24 , 2.11 
141, 0.13 ,D,Tuanzebe,BUR, 4.0 ,,,,, 0.28 , 0.46 , 0.42 , 0.37 , 0.68 , 0.40 , 0.48 , 0.68 , 3.77 
142, 0.14 ,D,F.Kadioglu,BRI, 4.5 ,,,,, 0.85 , 0.78 , 0.68 , 0.73 , 0.87 , 0.63 , 0.86 , 0.82 , 6.21 
143, 0.11 ,D,Cirkin,SUN, 4.0 ,,,,, -   , -   , 0.05 , 0.14 , 0.22 , 0.26 , 0.22 , 0.36 , 1.25 
144, 0.10 ,D,O’Reilly,MCI, 5.0 ,,,,, 0.32 , 0.25 , 0.23 , 0.23 , 0.18 , 0.33 , 0.29 , 0.36 , 2.18 
145, 0.11 ,D,Lamptey,BRI, 4.5 ,,,,, 0.28 , 0.27 , 0.24 , 0.29 , 0.35 , 0.25 , 0.35 , 0.37 , 2.41 
146, 0.14 ,D,Morato,NOT, 4.5 ,,,,, 0.54 , 0.58 , 0.93 , 0.72 , 1.05 , 1.12 , 0.68 , 0.74 , 6.35 
147, 0.13 ,D,Schmidt,LEE, 4.0 ,,,,, 0.62 , 0.18 , 0.23 , 0.24 , 0.28 , 0.31 , 0.30 , 0.36 , 2.53 
148, 0.12 ,D,Scarles,WHM, 4.5 ,,,,, 0.47 , 0.47 , 0.58 , 0.57 , 0.52 , 0.44 , 0.36 , 0.51 , 3.92 
149, 0.13 ,D,Mavropanos,WHM, 4.5 ,,,,, 0.49 , 0.47 , 0.66 , 0.68 , 0.71 , 0.68 , 0.49 , 0.79 , 4.95 
150, 0.12 ,D,Pedro Lima,WOL, 4.0 ,,,,, 0.13 , 0.12 , 0.15 , 0.11 , 0.22 , 0.18 , 0.22 , 0.24 , 1.37 
151, 0.12 ,D,Gomez,LIV, 5.0 ,,,,, 0.44 , 0.46 , 0.59 , 0.92 , 0.90 , 0.77 , 0.59 , 0.80 , 5.46 
152, 0.11 ,D,Boly,NOT, 4.0 ,,,,, 0.08 , 0.11 , 0.14 , 0.08 , 0.16 , 0.19 , 0.13 , 0.14 , 1.04 
153, 0.14 ,D,Clyne,CPL, 4.0 ,,,,, 0.32 , 0.54 , 0.53 , 0.76 , 0.59 , 0.50 , 0.59 , 0.68 , 4.50 
154, 0.11 ,D,Ajer,BRE, 4.5 ,,,,, 0.34 , 0.29 , 0.37 , 0.32 , 0.31 , 0.39 , 0.25 , 0.42 , 2.69 
155, 0.11 ,D,Dixon,EVE, 4.0 ,,,,, 0.07 , 0.07 , 0.06 , 0.05 , 0.04 , 0.08 , 0.09 , 0.05 , 0.51 
156, 0.11 ,D,O.Richards,NOT, 4.5 ,,,,, 0.15 , 0.18 , 0.28 , 0.15 , 0.26 , 0.32 , 0.20 , 0.21 , 1.76 
157, 0.11 ,D,Khusanov,MCI, 5.5 ,,,,, 0.80 , 0.68 , 0.65 , 0.75 , 0.59 , 0.94 , 0.66 , 0.93 , 6.00 
158, 0.11 ,D,Hjelde,SUN, 4.0 ,,,,, -   , -   , 0.02 , 0.10 , 0.12 , 0.14 , 0.12 , 0.19 , 0.70 
159, 0.11 ,D,Alese,SUN, 4.0 ,,,,, -   , -   , 0.02 , 0.07 , 0.09 , 0.08 , 0.08 , 0.13 , 0.48 
160, 0.14 ,D,Byram,LEE, 4.0 ,,,,, 0.75 , 0.31 , 0.48 , 0.53 , 0.55 , 0.52 , 0.49 , 0.65 , 4.28 
161, 0.11 ,D,Nallo,LIV, 4.0 ,,,,, 0.05 , 0.02 , 0.02 , 0.03 , 0.04 , 0.04 , 0.04 , 0.05 , 0.30 
162, 0.11 ,D,Igor,BRI, 4.5 ,,,,, 0.14 , 0.25 , 0.26 , 0.29 , 0.33 , 0.29 , 0.38 , 0.39 , 2.32 
163, 0.12 ,D,Soler,BOU, 4.0 ,,,,, 0.08 , 0.24 , 0.20 , 0.24 , 0.26 , 0.24 , 0.28 , 0.26 , 1.79 
164, 0.10 ,D,Coleman,EVE, 4.5 ,,,,, 0.20 , 0.17 , 0.16 , 0.16 , 0.14 , 0.20 , 0.19 , 0.18 , 1.40 
165, 0.11 ,D,Amissah,FUL, 4.0 ,,,,, 0.04 , 0.03 , 0.02 , 0.03 , 0.04 , 0.04 , 0.05 , 0.04 , 0.28 
166, 0.11 ,D,Worrall,BUR, 4.0 ,,,,, 0.11 , 0.19 , 0.11 , 0.08 , 0.09 , 0.05 , 0.07 , 0.08 , 0.78 
167, 0.11 ,D,Akinmboni,BOU, 4.0 ,,,,, 0.02 , 0.04 , 0.02 , 0.05 , 0.05 , 0.06 , 0.08 , 0.07 , 0.38 
168, 0.10 ,D,Emerson,WHM, 4.5 ,,,,, -   , 0.05 , 0.06 , 0.08 , 0.02 , 0.06 , 0.05 , 0.09 , 0.41 
169, 0.12 ,D,Jordan,BUR, 4.0 ,,,,, 0.04 , 0.09 , 0.13 , 0.22 , 0.48 , 0.34 , 0.51 , 0.82 , 2.64 
170, 0.12 ,D,Humphreys,BUR, 4.0 ,,,,, 0.01 , 0.01 , 0.01 , 0.18 , 0.46 , 0.31 , 0.37 , 0.60 , 1.95 
171, 0.10 ,D,Krafth,NEW, 4.5 ,,,,, 0.09 , 0.08 , 0.09 , 0.13 , 0.11 , 0.11 , 0.13 , 0.11 , 0.86 
172, 0.10 ,D,Lascelles,NEW, 4.5 ,,,,, 0.02 , 0.02 , 0.02 , 0.02 , 0.01 , 0.02 , 0.03 , 0.02 , 0.15 
173, 0.11 ,D,Targett,NEW, 4.0 ,,,,, 0.04 , 0.02 , 0.02 , 0.05 , 0.01 , 0.02 , 0.03 , 0.02 , 0.22 
174, 0.11 ,D,Kporha,CPL, 4.0 ,,,,, 0.01 , 0.01 , 0.01 , 0.02 , 0.01 , 0.01 , 0.02 , 0.02 , 0.12 
175, 0.11 ,D,Pond,WOL, 4.0 ,,,,, 0.01 , 0.01 , 0.01 , 0.01 , 0.04 , 0.02 , 0.02 , 0.05 , 0.18 
176, 0.13 ,D,Lucas Pires,BUR, 4.0 ,,,,, 0.31 , 0.58 , 0.41 , 0.37 , 0.47 , 0.22 , 0.31 , 0.47 , 3.13 
177, 0.11 ,D,Delcroix,BUR, 4.0 ,,,,, 0.11 , 0.11 , 0.07 , 0.04 , 0.05 , 0.02 , 0.03 , 0.04 , 0.46 
178, 0.10 ,D,D.Leon,MUN, 4.5 ,,,,, 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.02 , 0.02 , 0.01 , 0.10 
179, 0.11 ,D,Fredricson,MUN, 4.0 ,,,,, 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.02 , 0.01 , 0.10 
180, 0.11 ,D,Ji-soo,BRE, 4.0 ,,,,, 0.01 , 0.03 , 0.07 , 0.06 , 0.08 , 0.08 , 0.07 , 0.12 , 0.52 
181, 0.11 ,D,Sousa,AVL, 4.0 ,,,,, -   , -   , 0.00 , 0.00 , 0.00 , 0.01 , 0.01 , 0.01 , 0.04 
182, 0.11 ,D,Yasin,AVL, 4.0 ,,,,, -   , -   , 0.00 , 0.00 , 0.00 , 0.01 , 0.01 , 0.01 , 0.04 
183, 0.11 ,D,Meghoma,BRE, 4.0 ,,,,, -   , -   , -   , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.02 
184, 0.11 ,D,Worrall,, 4.0 ,,,,, -   , -   , -   , -   , -   , -   , -   , -   , -   
185, (1.00),D,0,,  ,,,,, -   , -   , -   , -   , -   , -   , -   , -   , -   
186, (1.00),D,0,,  ,,,,, -   , -   , -   , -   , -   , -   , -   , -   , -   
187, (1.00),D,0,,  ,,,,, -   , -   , -   , -   , -   , -   , -   , -   , -   
188, (1.00),D,0,,  ,,,,, -   , -   , -   , -   , -   , -   , -   , -   , -   
189, (1.00),D,0,,  ,,,,, -   , -   , -   , -   , -   , -   , -   , -   , -   
190, (1.00),D,0,,  ,,,,, -   , -   , -   , -   , -   , -   , -   , -   , -   
191, (1.00),D,0,,  ,,,,, -   , -   , -   , -   , -   , -   , -   , -   , -   
192, (1.00),D,0,,  ,,,,, -   , -   , -   , -   , -   , -   , -   , -   , -   
193, (1.00),D,0,,  ,,,,, -   , -   , -   , -   , -   , -   , -   , -   , -   
194, (1.00),D,0,,  ,,,,, -   , -   , -   , -   , -   , -   , -   , -   , -   
195, (1.00),D,0,,  ,,,,, -   , -   , -   , -   , -   , -   , -   , -   , -   
196, (1.00),D,0,,  ,,,,, -   , -   , -   , -   , -   , -   , -   , -   , -   
197, (1.00),D,0,,  ,,,,, -   , -   , -   , -   , -   , -   , -   , -   , -   
198, -   ,D,0,,  ,,,,, -   , -   , -   , -   , -   , -   , -   , -   , -   
199, -   ,D,0,,  ,,,,, -   , -   , -   , -   , -   , -   , -   , -   , -   
200, -   ,D,0,,  ,,,,, -   , -   , -   , -   , -   , -   , -   , -   , -   
,,,,,,,,,,,,,,,,,,
1, 0.43 ,GK,Raya,ARS, 5.5 ,,,,, 3.60 , 4.25 , 3.06 , 4.07 , 3.24 , 3.32 , 3.95 , 3.57 , 29.05 
2, 0.42 ,GK,A.Becker,LIV, 5.5 ,,,,, 3.93 , 3.40 , 3.41 , 3.94 , 3.96 , 3.47 , 3.10 , 3.52 , 28.71 
3, 0.40 ,GK,Ederson M.,MCI, 5.5 ,,,,, 3.83 , 3.58 , 3.23 , 3.50 , 2.85 , 4.07 , 3.30 , 3.72 , 28.09 
4, 0.44 ,GK,Sanchez,CHE, 5.0 ,,,,, 3.76 , 3.55 , 3.79 , 3.37 , 3.16 , 3.46 , 2.98 , 3.38 , 27.45 
5, 0.39 ,GK,Pickford,EVE, 5.5 ,,,,, 3.54 , 3.58 , 3.61 , 3.40 , 2.77 , 3.69 , 3.61 , 2.74 , 26.95 
6, 0.43 ,GK,Vicario,TOT, 5.0 ,,,,, 4.18 , 2.86 , 3.47 , 3.34 , 3.06 , 3.71 , 3.33 , 3.22 , 27.17 
7, 0.39 ,GK,Leno,FUL, 5.0 ,,,,, 3.12 , 3.43 , 2.86 , 3.68 , 3.51 , 2.95 , 3.06 , 2.99 , 25.61 
8, 0.43 ,GK,Verbruggen,BRI, 4.5 ,,,,, 3.66 , 3.41 , 2.88 , 3.06 , 3.28 , 2.81 , 3.36 , 3.11 , 25.56 
9, 0.37 ,GK,Henderson,CPL, 5.0 ,,,,, 2.88 , 3.56 , 2.92 , 3.73 , 3.13 , 2.76 , 3.19 , 3.19 , 25.36 
10, 0.42 ,GK,Sels,NOT, 5.0 ,,,,, 3.64 , 3.28 , 3.62 , 2.85 , 3.69 , 3.94 , 2.96 , 3.09 , 27.07 
11, 0.28 ,GK,Martinez,AVL, 5.0 ,,,,, -   , 3.30 , 3.60 , 3.46 , 3.70 , 3.58 , 4.02 , 3.00 , 24.65 
12, 0.35 ,GK,Pope,NEW, 5.0 ,,,,, 3.06 , 2.89 , 3.21 , 3.46 , 2.85 , 2.77 , 3.21 , 2.60 , 24.04 
13, 0.42 ,GK,Petrovic,BOU, 4.5 ,,,,, 2.87 , 3.78 , 3.02 , 3.27 , 3.14 , 3.19 , 3.40 , 3.06 , 25.72 
14, 0.40 ,GK,Jose Sa,WOL, 4.5 ,,,,, 2.90 , 3.07 , 3.61 , 2.88 , 3.46 , 2.87 , 3.14 , 3.38 , 25.30 
15, 0.30 ,GK,Onana,MUN, 5.0 ,,,,, 1.61 , 2.99 , 3.83 , 2.63 , 2.98 , 3.02 , 3.62 , 2.60 , 23.27 
16, 0.41 ,GK,Roefs,SUN, 4.5 ,,,,, 3.36 , 3.39 , 3.23 , 2.88 , 2.92 , 2.91 , 2.72 , 3.26 , 24.66 
17, 0.39 ,GK,Kelleher,BRE, 4.5 ,,,,, 2.80 , 3.16 , 3.49 , 2.99 , 3.09 , 3.10 , 2.70 , 2.97 , 24.31 
18, 0.40 ,GK,Perri,LEE, 4.5 ,,,,, 3.50 , 2.70 , 3.06 , 3.05 , 3.18 , 3.08 , 2.96 , 3.28 , 24.82 
19, 0.06 ,GK,Areola,WHM, 4.5 ,,,,, 2.37 , 1.35 , 1.30 , 1.19 , 1.39 , 1.42 , 1.33 , 1.52 , 11.88 
20, 0.24 ,GK,Dubravka,BUR, 4.0 ,,,,, 0.98 , 2.73 , 2.61 , 2.51 , 3.01 , 2.28 , 2.45 , 2.88 , 19.46 
21, 0.10 ,GK,Hermansen,WHM, 4.5 ,,,,, 1.26 , 1.79 , 1.99 , 2.09 , 2.03 , 1.89 , 1.47 , 1.88 , 14.41 
22, (0.05),GK,Weiss,BUR, 4.5 ,,,,, 1.70 , 0.88 , 0.31 , 0.29 , 0.36 , 0.34 , 0.38 , 0.45 , 4.70 
