No., BCV ,Position,Player,Team, Price , Weighted minutes , Weighted UPPM , PPG - longer term ,Fixture ratio,1,2,3,4,5,6,7,8,Sum
67, 0.16 ,F,Isak,NEW, 10.5 , 31.27 , 0.072 , 2.26 ,96%, -   , -   , 1.81 , 4.33 , 4.47 , 4.47 , 5.80 , 4.93 , 25.81 
68, (1.00),F,0,NEW, 100.0 , -   , -   , -   ,96%, -   , -   , -   , -   , -   , -   , -   , -   , -   
69, 0.41 ,F,Wood (Chris),NOT, 7.5 , 76.88 , 0.056 , 4.34 ,103%, 5.31 , 4.08 , 4.89 , 2.77 , 4.17 , 4.94 , 3.51 , 3.89 , 33.56 
70, 0.12 ,F,Igor Jesus,NOT, 6.0 , 33.00 , 0.040 , 1.32 ,103%, 1.53 , 1.19 , 1.46 , 0.84 , 1.24 , 1.45 , 1.01 , 1.10 , 9.81 
71, 0.10 ,F,Awoniyi,NOT, 5.5 , 12.00 , 0.049 , 0.59 ,103%, 0.69 , 0.51 , 0.60 , 0.32 , 0.45 , 0.49 , 0.32 , 0.32 , 3.70 
72, (1.00),F,0,NOT, 100.0 , -   , -   , -   ,103%, -   , -   , -   , -   , -   , -   , -   , -   , -   
73, (1.00),F,Dennis (Emmanuel),NOT, 100.0 , -   , 0.041 , -   ,103%, -   , -   , -   , -   , -   , -   , -   , -   , -   
74, (1.00),F,0,SUN, 100.0 , -   , -   , -   ,107%, -   , -   , -   , -   , -   , -   , -   , -   , -   
75, 0.12 ,F,Isidor,SUN, 5.5 , 26.00 , 0.034 , 0.88 ,107%, 1.02 , 0.89 , 0.96 , 0.74 , 0.82 , 0.68 , 0.65 , 0.79 , 6.54 
76, 0.21 ,F,Mayenda,SUN, 5.5 , 58.93 , 0.040 , 2.35 ,107%, 2.87 , 2.37 , 2.60 , 2.06 , 2.32 , 1.95 , 1.92 , 2.37 , 18.47 
77, 0.13 ,F,Guiu,SUN, 4.5 , 18.34 , 0.032 , 0.58 ,107%, 0.18 , 0.47 , 0.86 , 0.67 , 0.74 , 0.61 , 0.58 , 0.70 , 4.82 
78, (1.00),F,0,SUN, 100.0 , -   , -   , -   ,107%, -   , -   , -   , -   , -   , -   , -   , -   , -   
