first_name,second_name,form,team_against,Home_Away,minutes,xG,xA,xGI,xGC,xPoints,total_points,goals_scored,assists,clean_sheets,goals_conceded,bonus,saves,defensive_points,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards
Viktor,Gyökeres,4.8,Newcastle,Away,306.0,0.6235294117647059,0.07941176470588236,0.7029411764705883,0.4382352941176471,4.791176470588235,5.882352941176471,0.8823529411764706,0.0,0.5882352941176471,0.29411764705882354,0.5882352941176471,0.0,0.0,1.4705882352941178,1.7647058823529411,0.29411764705882354,3.5294117647058822,0.0,0.0,0.0,0.29411764705882354,0.0
Ollie,Watkins,1.5,Fulham,Home,352.0,0.2889204545454545,0.0434659090909091,0.3323863636363636,1.7667613636363637,3.075852272727273,2.0454545454545454,0.0,0.0,0.5113636363636364,1.0227272727272727,0.0,0.0,0.0,0.5113636363636364,2.0454545454545454,0.5113636363636364,3.0681818181818183,0.0,0.0,0.0,0.0,0.0
Lyle,Foster,3.8,Man City,Away,418.0,0.16148325358851673,0.01722488038277512,0.17870813397129184,1.9377990430622007,2.420095693779904,3.6602870813397126,0.21531100478468898,0.21531100478468898,0.43062200956937796,1.507177033492823,0.21531100478468898,0.0,0.0,1.7224880382775118,3.014354066985646,1.076555023923445,5.813397129186602,0.0,0.0,0.0,0.21531100478468898,0.0
Francisco Evanilson,de Lima Barbosa,3.8,Leeds,Away,347.0,0.24121037463976946,0.031123919308357346,0.2723342939481268,0.8714697406340058,3.1331412103746397,4.14985590778098,0.25936599423631124,0.25936599423631124,0.5187319884726225,1.296829971181556,0.5187319884726225,0.0,0.0,1.5561959654178674,3.112391930835735,0.0,4.6685878962536025,0.0,0.0,0.0,0.25936599423631124,0.0
Igor Thiago,Nascimento Rodrigues,2.5,Man Utd,Home,386.0,0.2914507772020726,0.03497409326424871,0.3264248704663213,1.4689119170984455,2.9028497409326426,3.7305699481865284,0.46632124352331605,0.0,0.23316062176165803,1.8652849740932642,0.23316062176165803,0.0,0.0,3.0310880829015545,1.3989637305699483,0.6994818652849741,5.129533678756477,0.0,0.0,0.0,0.46632124352331605,0.0
Danny,Welbeck,1.2,Chelsea,Away,237.0,0.6265822784810127,0.11012658227848103,0.7367088607594937,1.7810126582278483,4.355696202531645,1.89873417721519,0.0,0.0,0.0,2.278481012658228,0.0,0.0,0.0,0.0,1.89873417721519,1.139240506329114,3.037974683544304,0.0,0.0,0.379746835443038,0.0,0.0
João Pedro,Junqueira de Jesus,8.2,Brighton,Home,420.0,0.3214285714285714,0.04285714285714285,0.36428571428571427,1.0285714285714285,5.271428571428571,7.499999999999999,0.42857142857142855,0.6428571428571428,0.42857142857142855,0.8571428571428571,1.7142857142857142,0.0,0.0,2.142857142857143,1.9285714285714284,0.6428571428571428,4.714285714285714,0.0,0.0,0.0,0.0,0.0
Liam,Delap,0.8,Brighton,Home,61.0,0.13278688524590163,0.029508196721311476,0.1622950819672131,0.26557377049180325,3.570491803278688,2.9508196721311473,0.0,0.0,0.0,1.4754098360655736,0.0,0.0,0.0,0.0,2.9508196721311473,0.0,2.9508196721311473,0.0,0.0,0.0,0.0,0.0
Jean-Philippe,Mateta,3.8,Liverpool,Home,441.0,0.49795918367346936,0.06938775510204082,0.5673469387755101,0.9040816326530611,3.8326530612244896,3.265306122448979,0.4081632653061224,0.0,0.6122448979591836,0.4081632653061224,0.0,0.0,0.0,3.4693877551020407,2.6530612244897958,0.2040816326530612,6.326530612244897,0.0,0.0,0.0,0.4081632653061224,0.0
Thierno,Barry,1.2,West Ham,Home,108.0,0.2916666666666667,0.008333333333333333,0.30000000000000004,1.4083333333333334,2.8583333333333334,2.5,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.0
Norberto Bercique,Gomes Betuncal,2.5,West Ham,Home,310.0,0.5806451612903225,0.026129032258064514,0.606774193548387,1.42258064516129,3.85258064516129,3.4838709677419355,0.29032258064516125,0.0,0.29032258064516125,1.161290322580645,0.29032258064516125,0.0,0.0,1.161290322580645,0.8709677419354839,0.29032258064516125,2.32258064516129,0.0,0.0,0.0,0.29032258064516125,0.0
Raúl,Jiménez Rodríguez,0.8,Aston Villa,Away,96.0,0.375,0.0,0.375,1.134375,3.375,2.8125,0.0,0.0,0.0,0.9375,0.0,0.0,0.0,0.9375,0.0,0.9375,1.875,0.0,0.0,0.0,0.0,0.0
Rodrigo,Muniz Carvalho,1.8,Aston Villa,Away,289.0,0.26782006920415224,0.006228373702422145,0.2740484429065744,1.638062283737024,2.024221453287197,4.359861591695502,0.31141868512110726,0.31141868512110726,0.31141868512110726,1.245674740484429,0.9342560553633218,0.0,0.0,1.5570934256055362,1.8685121107266436,0.9342560553633218,4.359861591695502,0.31141868512110726,0.0,0.0,0.31141868512110726,0.0
Joël,Piroe,0.2,Bournemouth,Home,134.0,0.18805970149253734,0.026865671641791045,0.21492537313432838,1.430597014925373,2.1761194029850746,2.014925373134328,0.0,0.0,0.6716417910447761,2.6865671641791042,0.0,0.0,0.0,0.0,3.3582089552238803,0.0,3.3582089552238803,0.0,0.0,0.0,0.0,0.0
Lukas,Nmecha,1.2,Bournemouth,Home,122.0,0.07377049180327869,0.014754098360655738,0.08852459016393442,1.5860655737704916,1.8147540983606556,2.9508196721311473,0.0,0.0,0.7377049180327868,1.4754098360655736,0.0,0.0,0.0,3.6885245901639343,2.9508196721311473,0.0,6.639344262295082,0.0,0.0,0.0,0.0,0.0
